t,x,y,theta,v,w
16.464,0.0000,0.0000,0.0000,0.0000,0.0000
16.565,0.0000,0.0000,0.0000,0.0000,0.0000
16.665,0.0000,0.0000,0.0000,0.0000,0.0000
16.764,0.0000,0.0000,0.0000,0.0000,0.0000
16.864,0.0000,0.0000,0.0000,0.0000,0.0000
16.966,0.0000,0.0000,0.0000,0.0000,0.0000
17.063,0.0000,0.0000,0.0000,0.0000,0.0000
17.163,0.0000,0.0000,0.0000,0.0000,0.0000
17.265,0.0000,0.0000,0.0000,0.0000,0.0000
17.355,0.0000,0.0000,0.0000,0.0000,0.0000
17.463,0.0000,0.0000,0.0000,0.0000,0.0000
17.564,0.0000,0.0000,0.0000,0.0000,0.0000
17.663,0.0000,0.0000,0.0000,0.0000,0.0000
17.764,0.0000,0.0000,0.0000,0.0000,0.0000
17.865,0.0000,0.0000,0.0000,0.0000,0.0000
17.965,0.0000,0.0000,0.0000,0.0000,0.0000
18.057,0.0000,0.0000,0.0000,0.0000,0.0000
18.164,0.0000,0.0000,0.0000,0.0000,0.0000
18.264,0.0000,0.0000,0.0000,0.0000,0.0000
18.365,0.0000,0.0000,0.0000,0.0000,0.0000
18.464,0.0000,0.0000,0.0000,0.0000,0.0000
18.564,0.0000,0.0000,0.0000,0.0000,0.0000
18.664,0.0000,0.0000,0.0000,0.0000,0.0000
18.764,0.0000,0.0000,0.0000,0.0000,0.0000
18.863,0.0000,0.0000,0.0000,0.0000,0.0000
18.963,0.0000,0.0000,0.0000,0.0000,0.0000
19.065,0.0000,0.0000,0.0000,0.0000,0.0000
19.164,0.0000,0.0000,0.0000,0.0000,0.0000
19.277,0.0000,0.0000,0.0000,0.0000,0.0000
19.364,0.0000,0.0000,0.0000,0.0000,0.0000
19.464,0.0000,0.0000,0.0000,0.0000,0.0000
19.565,0.0000,0.0000,0.0000,0.0000,0.0000
19.666,0.0000,0.0000,0.0000,0.0000,0.0000
19.766,0.0000,0.0000,0.0000,0.0000,0.0000
19.863,0.0000,0.0000,0.0000,0.0000,0.0000
19.965,0.0000,0.0000,0.0000,0.0000,0.0000
20.074,0.0000,0.0000,0.0000,0.0000,0.0000
20.166,0.0000,0.0000,0.0000,0.0000,0.0000
20.264,0.0000,0.0000,0.0000,0.0000,0.0000
20.364,0.0000,0.0000,0.0000,0.0000,0.0000
20.464,0.0000,0.0000,0.0000,0.0000,0.0000
20.565,0.0000,0.0000,0.0000,0.0000,0.0000
20.666,0.0000,0.0000,0.0000,0.0000,0.0000
20.763,0.0000,0.0000,0.0000,0.0000,0.0000
20.866,0.0000,0.0000,0.0000,0.0000,0.0000
20.966,0.0000,0.0000,0.0000,0.0000,0.0000
21.065,0.0000,0.0000,0.0000,0.0000,0.0000
21.165,0.0000,0.0000,0.0000,0.0000,0.0000
21.264,0.0000,0.0000,0.0000,0.0000,0.0000
21.365,0.0000,0.0000,0.0000,0.0000,0.0000
21.463,0.0003,0.0000,0.0021,0.0031,0.0215
21.565,0.0000,-0.0000,0.0043,-0.0030,0.0212
21.665,0.0000,-0.0000,0.0085,0.0000,0.0426
21.765,-0.0006,-0.0000,0.0128,-0.0061,0.0426
21.865,-0.0009,-0.0000,0.0192,-0.0030,0.0637
21.965,-0.0015,-0.0000,0.0234,-0.0061,0.0426
22.065,-0.0018,-0.0000,0.0256,-0.0031,0.0215
22.166,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.263,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.375,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.465,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.566,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.666,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.765,-0.0018,-0.0000,0.0256,0.0000,0.0000
22.865,-0.0018,-0.0000,0.0256,0.0000,0.0000
